gpu_model,input_seq_len,output_seq_len,tensor_parallel,expert_parallel,concurrency,framework,actual_throughput,actual_ttft,actual_tpot,actual_e2e_latency,predicted_throughput_per_gpu,predicted_ttft_sec,predicted_tpot_sec,predicted_e2e_latency_sec,fits_on_hardware,bottleneck,throughput_abs_error,throughput_pct_error,ttft_abs_error,ttft_pct_error,tpot_abs_error,tpot_pct_error,e2e_latency_abs_error,e2e_latency_pct_error
b200,1024,1024,8.0,1.0,8,vllm,606.6617950388157,0.0314606282503518,0.0031799978617943,2.983183586471569,1493.897093916257,0.0055949043695616,0.0053551212011718,0.0109500255707334,True,balanced,887.2352988774413,146.2487511382967,-0.025865723880790198,-82.21617087542097,0.0021751233393775,68.4001510035669,-2.9722335609008357,-99.63294161243074
b200,1024,1024,8.0,1.0,4,vllm,333.78688754866096,0.0289448802286642,0.0028859811315001,2.674530216254061,746.9485469581285,0.0053551212011718,0.0053551212011718,0.0107102424023437,True,memory,413.1616594094676,123.78007489860879,-0.023589759027492403,-81.49890012027548,0.0024691400696716997,85.55634833233539,-2.6638199738517176,-99.59954677882293
b200,1024,8192,1.0,1.0,128,vllm,10992.641853993617,0.1329790614730882,0.0127591067937147,94.12509429296816,23902.353502660113,0.0895184699129856,0.0053551212011718,0.0948735911141574,True,compute,12909.711648666496,117.43957294466398,-0.043460591560102596,-32.68228176576354,-0.007403985592542901,-58.02902751931036,-94.030220701854,-99.89920478505036
b200,1024,8192,1.0,1.0,64,vllm,7012.92309085166,0.0979046721491613,0.010000347683313,73.96033577105554,11951.176751330057,0.0447592349564928,0.0053551212011718,0.0501143561576646,True,compute,4938.253660478396,70.41648106650898,-0.05314543719266851,-54.28284067148452,-0.0046452264821412,-46.45064980983031,-73.91022141489788,-99.9322415783606
b200,1024,8192,1.0,1.0,4,vllm,1177.02609958545,0.0479003004613332,0.0037676738613298,27.41360751299653,746.9485469581285,0.0053551212011718,0.0053551212011718,0.0107102424023437,True,memory,-430.07755262732155,-36.53933865857311,-0.0425451792601614,-88.82027638742133,0.0015874473398419997,42.1333533174156,-27.40289727059419,-99.96093092674043
b200,1024,8192,1.0,1.0,32,vllm,4556.061777801745,0.073207574718981,0.0076973824509152,57.15989688539412,5975.588375665028,0.0223796174782464,0.0053551212011718,0.0277347386794182,True,compute,1419.5265978632833,31.15687773988418,-0.0508279572407346,-69.42991546413859,-0.0023422612497434004,-30.429321456736393,-57.1321621467147,-99.95147867615117
b200,1024,8192,1.0,1.0,8,vllm,1898.037303397164,0.0513984468096168,0.0046273199322864,34.10367049403139,1493.897093916257,0.0055949043695616,0.0053551212011718,0.0109500255707334,True,balanced,-404.14020948090683,-21.29253248909095,-0.045803542440055196,-89.11464311307793,0.0007278012688853993,15.72835419931265,-34.092720468460655,-99.96789194414526
b200,1024,8192,1.0,1.0,16,vllm,3075.2345396919304,0.0585538542189169,0.0057112700649788,42.19284832258709,2987.794187832514,0.0111898087391232,0.0053551212011718,0.016544929940295,True,compute,-87.4403518594163,-2.8433718056566786,-0.0473640454797937,-80.88971445451301,-0.00035614886380700046,-6.235896039847355,-42.176303392646794,-99.9607873594743
b200,1024,8192,2.0,1.0,16,vllm,2004.967850968986,0.0432301265071146,0.0043700427743869,32.28330970748793,2987.794187832514,0.0111898087391232,0.0053551212011718,0.016544929940295,True,compute,982.826336863528,49.01955591899069,-0.032040317767991405,-74.1157159526664,0.0009850784267848994,22.54161978822054,-32.266764777547635,-99.94875082483733
b200,1024,8192,2.0,1.0,32,vllm,3258.5409744397043,0.0496735854831058,0.0053737286785615,39.904249922488816,5975.588375665028,0.0223796174782464,0.0053551212011718,0.0277347386794182,True,compute,2717.047401225324,83.38233039075139,-0.0272939680048594,-54.94664365257507,-1.8607477389700165e-05,-0.34626752675353206,-39.876515183809396,-99.93049677983349
b200,1024,8192,2.0,1.0,128,vllm,7704.94380195518,0.0961461411767686,0.0090696581976457,66.9068870370671,23902.353502660113,0.0895184699129856,0.0053551212011718,0.0948735911141574,True,compute,16197.409700704933,210.22099728481777,-0.006627671263783011,-6.893330489049755,-0.0037145369964739,-40.95564480520466,-66.81201344595294,-99.85820056003863
b200,1024,8192,2.0,1.0,4,vllm,655.3450385061252,0.0373938267061021,0.0033827655184538,24.603110407537315,746.9485469581285,0.0053551212011718,0.0053551212011718,0.0107102424023437,True,memory,91.60350845200333,13.977905236120462,-0.0320387055049303,-85.67913029265355,0.0019723556827179996,58.3060124019334,-24.592400165134972,-99.95646793342414
b200,1024,8192,2.0,1.0,8,vllm,1179.3574361569572,0.038710788055323,0.0037148767955504,27.368665225303268,1493.897093916257,0.0055949043695616,0.0053551212011718,0.0109500255707334,True,balanced,314.53965775929987,26.67042646411386,-0.0331158836857614,-85.54691172505783,0.0016402444056213997,44.15339985396149,-27.357715199732535,-99.95999064813505
b200,1024,8192,2.0,1.0,64,vllm,5062.232423256235,0.0695222993668721,0.0068967917896062,51.0095920327396,11951.176751330057,0.0447592349564928,0.0053551212011718,0.0501143561576646,True,compute,6888.944328073821,136.08510538602593,-0.0247630644103793,-35.61888003689804,-0.0015416705884344004,-22.353445420199183,-50.95947767658193,-99.9017550343757
b200,1024,8192,4.0,1.0,32,vllm,2004.72675055894,0.0451538355002412,0.0043660729695024,32.42319959112865,5975.588375665028,0.0223796174782464,0.0053551212011718,0.0277347386794182,True,compute,3970.8616251060885,198.07495580128156,-0.0227742180219948,-50.43695130145289,0.0009890482316694,22.653039437912135,-32.39546485244923,-99.91446020433156
b200,1024,8192,4.0,1.0,4,vllm,366.29847432233254,0.0297641204902902,0.0030256449756882,22.001147380936892,746.9485469581285,0.0053551212011718,0.0053551212011718,0.0107102424023437,True,memory,380.650072635796,103.91800657647141,-0.0244089992891184,-82.00813223115807,0.0023294762254835997,76.99106287094199,-21.99043713853455,-99.95131961885032
b200,1024,8192,4.0,1.0,64,vllm,3449.0425004053586,0.0556684124923776,0.005049012400116,37.34532815439452,11951.176751330057,0.0447592349564928,0.0053551212011718,0.0501143561576646,True,compute,8502.134250924697,246.50708855937435,-0.010909177535884801,-19.59671032001953,0.00030610880105580007,6.062746073841437,-37.29521379823686,-99.86580823188785
b200,1024,8192,4.0,1.0,16,vllm,1195.2714669399247,0.034382580401143,0.003661410864915,27.04262887861696,2987.794187832514,0.0111898087391232,0.0053551212011718,0.016544929940295,True,compute,1792.5227208925894,149.96783328909524,-0.023192771662019798,-67.45500596938557,0.0016937103362568,46.25840690228355,-27.026083948676664,-99.93881907704107
b200,1024,8192,4.0,1.0,8,vllm,673.6617149039121,0.0297082786797545,0.0032494837010765,23.938513873447665,1493.897093916257,0.0055949043695616,0.0053551212011718,0.0109500255707334,True,balanced,820.235379012345,121.75775479972756,-0.0241133743101929,-81.16718767225515,0.0021056375000953,64.79914022642235,-23.927563847876932,-99.95425770526684
b200,1024,8192,8.0,1.0,4,vllm,193.3140170785626,0.0275956875411793,0.0028660203288573,20.838192403828725,746.9485469581285,0.0053551212011718,0.0053551212011718,0.0107102424023437,True,memory,553.6345298795659,286.39130169985003,-0.0222405663400075,-80.59435484917456,0.0024891008723145,86.84868168073741,-20.82748216142638,-99.9486028241088
b200,1024,8192,8.0,1.0,8,vllm,344.92585289532786,0.030540799757,0.003172538774603,23.370309573906702,1493.897093916257,0.0055949043695616,0.0053551212011718,0.0109500255707334,True,balanced,1148.9712410209293,333.1067333388892,-0.024945895387438403,-81.68055711023338,0.0021825824265687996,68.79608356691936,-23.35935954833597,-99.95314556901309
b200,8192,1024,1.0,1.0,64,vllm,37807.907511236175,0.3822491818244088,0.0145722471203071,13.815373224085215,11951.176751330057,0.3580738796519424,0.0053551212011718,0.3634290008531143,False,compute,-25856.730759906117,-68.38974294523368,-0.02417530217246644,-6.324487617496506,-0.009217125919135299,-63.25123258643348,-13.4519442232321,-97.36938702300473
b200,8192,1024,1.0,1.0,16,vllm,19728.4403185966,0.1682462680400931,0.0069369626280844,6.51455253623426,2987.794187832514,0.0895184699129856,0.0053551212011718,0.0948735911141574,True,compute,-16740.646130764086,-84.85539586717287,-0.0787277981271075,-46.79319134041456,-0.0015818414269126004,-22.803084169842446,-6.419678945120102,-98.54366680464291
b200,8192,1024,1.0,1.0,8,vllm,13124.726087807545,0.1329730435732926,0.0051945847072936,4.942001132226869,1493.897093916257,0.0447592349564928,0.0053551212011718,0.0501143561576646,True,compute,-11630.828993891288,-88.61768936035898,-0.0882138086167998,-66.33961759939545,0.0001605364938781998,3.0904586781074936,-4.891886776069204,-98.9859501279579
b200,8192,1024,1.0,1.0,128,vllm,50307.045114806104,0.6627287872945089,0.0218723359830156,20.794649513383412,23902.353502660113,0.7161477593038849,0.0053551212011718,0.7215028805050567,False,compute,-26404.69161214599,-52.487065284569255,0.05341897200937595,8.060457465179823,-0.0165172147818438,-75.51646424355323,-20.073146632878355,-96.5303436345936
b200,8192,1024,1.0,1.0,4,vllm,8373.86907243868,0.1050836364505812,0.0040891411023842,3.862283645803109,746.9485469581285,0.0223796174782464,0.0053551212011718,0.0277347386794182,True,compute,-7626.920525480551,-91.08000685828016,-0.08270401897233481,-78.7030424201478,0.0012659800987875995,30.959560139645504,-3.8345489071236907,-99.2819082899425
b200,8192,1024,1.0,1.0,32,vllm,27599.70533809982,0.2403404200716977,0.009868894811306,9.373190817101747,5975.588375665028,0.1790369398259712,0.0053551212011718,0.1843920610271431,True,compute,-21624.11696243479,-78.3490863309469,-0.061303480245726516,-25.506937296455845,-0.0045137736101342,-45.73737684348537,-9.188798756074604,-98.03277171429485
b200,8192,1024,2.0,1.0,8,vllm,8358.866613044342,0.0988501069135963,0.0040776175661569,3.87298241640674,1493.897093916257,0.0447592349564928,0.0053551212011718,0.0501143561576646,True,compute,-6864.969519128084,-82.12799458260321,-0.054090871957103506,-54.72009454110525,0.0012775036350148993,31.32965792618284,-3.8228680602490757,-98.70605257732723
b200,8192,1024,2.0,1.0,64,vllm,28334.772734182563,0.2692085663758917,0.0096728876658894,9.18691664958169,11951.176751330057,0.3580738796519424,0.0053551212011718,0.3634290008531143,False,compute,-16383.595982852506,-57.82151893912185,0.08886531327605068,33.0098386066844,-0.004317766464717601,-44.63782289071577,-8.823487648728575,-96.04405901658352
b200,8192,1024,2.0,1.0,4,vllm,4792.1368693063905,0.0819224337581545,0.003576954378527,3.369366524671205,746.9485469581285,0.0223796174782464,0.0053551212011718,0.0277347386794182,True,compute,-4045.188322348262,-84.41303812204677,-0.0595428162799081,-72.68194259912507,0.0017781668226447998,49.71175571372689,-3.341631785991787,-99.17685599128683
b200,8192,1024,2.0,1.0,16,vllm,13113.988906039664,0.1260160672856727,0.0051978740257677,4.88100990226958,2987.794187832514,0.0895184699129856,0.0053551212011718,0.0948735911141574,True,compute,-10126.194718207149,-77.21674000763808,-0.036497597372687096,-28.96265385742336,0.00015724717540409935,3.025220977356694,-4.786136311155422,-98.05627128373489
b200,8192,1024,2.0,1.0,32,vllm,19954.900393005737,0.1751185269851703,0.0067845565228339,6.453851806835155,5975.588375665028,0.1790369398259712,0.0053551212011718,0.1843920610271431,True,compute,-13979.312017340708,-70.05453167904815,0.003918412840800883,2.2375775471961967,-0.0014294353216621003,-21.0689573718081,-6.269459745808012,-97.14291454861332
b200,8192,1024,2.0,1.0,128,vllm,37208.763433196706,0.4666245238854117,0.014732245931683,14.026985970956002,23902.353502660113,0.7161477593038849,0.0053551212011718,0.7215028805050567,False,compute,-13306.409930536593,-35.76149461248947,0.24952323541847315,53.47409376189328,-0.0093771247305112,-63.65034071515778,-13.305483090450945,-94.85632279094749
b200,8192,1024,4.0,1.0,16,vllm,8145.218868740557,0.1025815822620643,0.0041729837835239,3.9194185937925794,2987.794187832514,0.0895184699129856,0.0053551212011718,0.0948735911141574,True,compute,-5157.424680908043,-63.31842967045406,-0.013063112349078712,-12.734364260151972,0.0011821374176478995,28.328349185427143,-3.824545002678422,-97.57939630984008
b200,8192,1024,4.0,1.0,64,vllm,19184.347257856793,0.2238245724620355,0.0071099504029324,6.778473114233202,11951.176751330057,0.3580738796519424,0.0053551212011718,0.3634290008531143,False,compute,-7233.170506526736,-37.7035007201741,0.13424930718990688,59.97970004507788,-0.0017548292017606007,-24.681314247098626,-6.415044113380088,-94.6384828156949
b200,8192,1024,4.0,1.0,32,vllm,12777.344706099171,0.1390193401486613,0.0052872240075355,5.031527935987105,5975.588375665028,0.1790369398259712,0.0053551212011718,0.1843920610271431,True,compute,-6801.756330434143,-53.23294070001394,0.04001759967730989,28.78563488685588,6.789719363629963e-05,1.2841747113330293,-4.847135874959962,-96.33526707248683
b200,8192,1024,4.0,1.0,8,vllm,4819.529965652201,0.0887608969787834,0.0035329579243993,3.3582524087658383,1493.897093916257,0.0447592349564928,0.0053551212011718,0.0501143561576646,True,compute,-3325.632871735944,-69.00326163416443,-0.0440016620222906,-49.57325074442224,0.0018221632767724998,51.576138628436055,-3.308138052608174,-98.50772514814985
